0,Hindi Halamang Gamot,sdf,sdfs,sdf,sdfs,sdfs
1,Bayabas,"Isang mababang puno na nagtataglay ng aromantikong katas. Ang kulay berdeng mga dahon ay nakaayos sa pormang “opposite”, hugis oblong at patulis naman ang dulo. Ang maliliit na bulaklakay bilugan at kulay puti. Ang bunga o prutas ay bilugan at maraming buto sa loob.",Mga Sakit na Nagagamot,asdas,Paano Gamitin,sdad
2,Ampalaya,"Ito ay isang uri ng vine o halamang gumagapang na nagtataglay ng mga sungot o “tendrils” na nagbibigay ng suporta sa pag-akyat nito. Ang mga dahon nito ay hugis puso at may anyong palmate lobed. Ang bulaklak na maliit at kulay dilaw ay matatagpuan sa bahagi ng dahon na tinatawag na axils. Ang bunga o prutas nito ay mahaba , cylindrical, kulay berde at may kulubot. Nagtataglay ito ng mapait na lasa.",Mga Sakit na Nagagamot,sdasd,Paano Gamitin,sdad
3,Lagundi,"Ito ay isang uri ng shrub, ang dahon ay nasa klasipikasyong compound, ang bulaklak ay kulay asul at hugis kampana. Ang maliit na prutas ay nagiging kulay itim kapag hinog na.",Mga Sakit na Nagagamot,asdasd,Paano Gamitin,sada
4,Sambong,asda,Mga Sakit na Nagagamot,sdasd,Paano Gamitin,sdad
5,Akapulko,"Ito ay  isang puno na may maligasgas at kulay lupang balat. Ang mga dahon  ay animo kaliskis at nakaayos sa pormang tinatawag na “whorl”, kung saan ang gawing baba ng mga ito ay bahagyang magkakadikit at tumatakip sa “twig”. Ang mga dilaw na bulaklak ay nakaayos sa dulomg bahagi ng stem o terminal. Ang pods ay kulay brown na nagtataglay ng mga butong hugis tatsulok o traynggulo.",Mga Sakit na Nagagamot,sdasd,Paano Gamitin,sdad
6,Pansit-Pansitan,"Ito ay isang uri ng herb na maliit at makatas ang lahat ng bahagi. Ang dahon ay hugis puso, makintab at kulang maputlang berde. Ang bulaklak ay mamerde-merde na nasa dulong bahagi ng mga sanga o tangkay.",Mga Sakit na Nagagamot,asdas,Paano Gamitin,sdad
7,Niyog-Niyogan,asdasd,Mga Sakit na Nagagamot,asdas,Paano Gamitin,sdad
8,Tsaang Gubat,Ito ay isang uri ng herb na masanga at maraming berdeng dahon. Maliit ang dahon na hugis bilo-haba at makurba ang gilid nito.,Mga Sakit na Nagagamot,asdad,Paano Gamitin,dad
9,Yerba Buena,asda,Mga Sakit na Nagagamot,asdas,Paano Gamitin,asdaasd
10,Alagaw,asdasd,Mga Sakit na Nagagamot,sdasd,Paano Gamitin,das
11,Atis,"Ito ay isang punona may dahon na hugis oblong at may matulis na dulo. Ang mga bulaklak ay solo, mamerde-merde na may halong puti at nakaayos sa porma na tinatawag na “axillary”. Ang malaki nitong bunga ay hugis puso na may animo kaliskis na balat.",Mga Sakit na Nagagamot,sdasd,Paano Gamitin,dsasd
